Commodity,Price,Date
Potato,100,2023-01-01
Potato,102,2023-01-02
Potato,104,2023-01-03
Potato,106,2023-01-04
Potato,108,2023-01-05
Potato,105,2023-01-06
Potato,107,2023-01-07
Potato,109,2023-01-08
Potato,111,2023-01-09
Potato,113,2023-01-10
Potato,110,2023-01-11
Potato,112,2023-01-12
Potato,114,2023-01-13
Potato,116,2023-01-14
Potato,118,2023-01-15
Potato,115,2023-01-16
Potato,117,2023-01-17
Potato,119,2023-01-18
Potato,121,2023-01-19
Potato,123,2023-01-20
Potato,120,2023-01-21
Potato,122,2023-01-22
Potato,124,2023-01-23
Potato,126,2023-01-24
Potato,128,2023-01-25
Potato,125,2023-01-26
Potato,127,2023-01-27
Potato,129,2023-01-28
Potato,131,2023-01-29
Potato,133,2023-01-30
Potato,130,2023-01-31
Potato,132,2023-02-01
Potato,134,2023-02-02
Potato,136,2023-02-03
Potato,138,2023-02-04
Potato,135,2023-02-05
Potato,137,2023-02-06
Potato,139,2023-02-07
Potato,141,2023-02-08
Potato,143,2023-02-09
Potato,140,2023-02-10
Potato,142,2023-02-11
Potato,144,2023-02-12
Potato,146,2023-02-13
Potato,148,2023-02-14
Potato,145,2023-02-15
Potato,147,2023-02-16
Potato,149,2023-02-17
Potato,151,2023-02-18
Potato,153,2023-02-19
